Conc_AP_Lys_100_(mM),Conc_AP_Asp_200_(mM),Phase
0.1,0.1,0
0.5,0.1,0
0.9,0.1,0
1.3,0.1,0
1.7,0.1,0
2.1,0.1,0
2.5,0.1,-1
2.9,0.1,-1
3.3,0.1,-1
3.7,0.1,-1
4.1,0.1,0
4.5,0.1,-1
4.9,0.1,-1
5.3,0.1,-1
5.7,0.1,-1
6.1,0.1,-1
6.5,0.1,-1
6.9,0.1,-1
7.3,0.1,-1
7.7,0.1,0
8.1,0.1,0
0.1,0.5,-1
0.5,0.5,0
0.9,0.5,1
1.3,0.5,1
1.7,0.5,0
2.1,0.5,0
2.5,0.5,0
2.9,0.5,0
3.3,0.5,0
3.7,0.5,-1
4.1,0.5,-1
4.5,0.5,-1
4.9,0.5,-1
5.3,0.5,-1
5.7,0.5,-1
6.1,0.5,-1
6.5,0.5,-1
6.9,0.5,-1
7.3,0.5,0
7.7,0.5,0
8.1,0.5,0
0.1,0.9,-1
0.5,0.9,0
0.9,0.9,1
1.3,0.9,1
1.7,0.9,-1
2.1,0.9,-1
2.5,0.9,1
2.9,0.9,-1
3.3,0.9,-1
3.7,0.9,1
4.1,0.9,1
4.5,0.9,0
4.9,0.9,0
5.3,0.9,0
5.7,0.9,0
6.1,0.9,0
6.5,0.9,0
6.9,0.9,0
7.3,0.9,0
7.7,0.9,0
8.1,0.9,0
0.1,1.3,-1
0.5,1.3,0
0.9,1.3,-1
1.3,1.3,-1
1.7,1.3,-1
2.1,1.3,-1
2.5,1.3,-1
2.9,1.3,-1
3.3,1.3,1
3.7,1.3,-1
4.1,1.3,-1
4.5,1.3,-1
4.9,1.3,1
5.3,1.3,-1
5.7,1.3,-1
6.1,1.3,1
6.5,1.3,1
6.9,1.3,1
7.3,1.3,1
7.7,1.3,1
8.1,1.3,1
0.1,1.7,-1
0.5,1.7,0
0.9,1.7,-1
1.3,1.7,-1
1.7,1.7,-1
2.1,1.7,-1
2.5,1.7,-1
2.9,1.7,-1
3.3,1.7,-1
3.7,1.7,1
4.1,1.7,-1
4.5,1.7,-1
4.9,1.7,-1
5.3,1.7,-1
5.7,1.7,1
6.1,1.7,-1
6.5,1.7,-1
6.9,1.7,-1
7.3,1.7,1
7.7,1.7,1
8.1,1.7,1
0.1,2.1,-1
0.5,2.1,-1
0.9,2.1,-1
1.3,2.1,-1
1.7,2.1,1
2.1,2.1,-1
2.5,2.1,-1
2.9,2.1,-1
3.3,2.1,-1
3.7,2.1,-1
4.1,2.1,-1
4.5,2.1,1
4.9,2.1,-1
5.3,2.1,-1
5.7,2.1,-1
6.1,2.1,-1
6.5,2.1,-1
6.9,2.1,-1
7.3,2.1,-1
7.7,2.1,1
8.1,2.1,-1
0.1,2.5,-1
0.5,2.5,-1
0.9,2.5,-1
1.3,2.5,-1
1.7,2.5,-1
2.1,2.5,-1
2.5,2.5,1
2.9,2.5,-1
3.3,2.5,-1
3.7,2.5,-1
4.1,2.5,-1
4.5,2.5,-1
4.9,2.5,-1
5.3,2.5,-1
5.7,2.5,-1
6.1,2.5,-1
6.5,2.5,-1
6.9,2.5,1
7.3,2.5,-1
7.7,2.5,-1
8.1,2.5,1
0.1,2.9,-1
0.5,2.9,-1
0.9,2.9,-1
1.3,2.9,-1
1.7,2.9,-1
2.1,2.9,-1
2.5,2.9,-1
2.9,2.9,-1
3.3,2.9,-1
3.7,2.9,-1
4.1,2.9,-1
4.5,2.9,-1
4.9,2.9,-1
5.3,2.9,-1
5.7,2.9,-1
6.1,2.9,-1
6.5,2.9,-1
6.9,2.9,-1
7.3,2.9,-1
7.7,2.9,-1
8.1,2.9,1
0.1,3.3,-1
0.5,3.3,0
0.9,3.3,1
1.3,3.3,-1
1.7,3.3,-1
2.1,3.3,-1
2.5,3.3,-1
2.9,3.3,-1
3.3,3.3,-1
3.7,3.3,-1
4.1,3.3,-1
4.5,3.3,-1
4.9,3.3,-1
5.3,3.3,-1
5.7,3.3,-1
6.1,3.3,-1
6.5,3.3,-1
6.9,3.3,-1
7.3,3.3,-1
7.7,3.3,-1
8.1,3.3,1
0.1,3.7,-1
0.5,3.7,-1
0.9,3.7,1
1.3,3.7,1
1.7,3.7,-1
2.1,3.7,-1
2.5,3.7,1
2.9,3.7,-1
3.3,3.7,-1
3.7,3.7,-1
4.1,3.7,-1
4.5,3.7,-1
4.9,3.7,-1
5.3,3.7,-1
5.7,3.7,-1
6.1,3.7,-1
6.5,3.7,-1
6.9,3.7,-1
7.3,3.7,-1
7.7,3.7,-1
8.1,3.7,1
0.1,4.1,0
0.5,4.1,-1
0.9,4.1,0
1.3,4.1,-1
1.7,4.1,-1
2.1,4.1,-1
2.5,4.1,-1
2.9,4.1,-1
3.3,4.1,-1
3.7,4.1,-1
4.1,4.1,1
4.5,4.1,-1
4.9,4.1,-1
5.3,4.1,-1
5.7,4.1,-1
6.1,4.1,-1
6.5,4.1,-1
6.9,4.1,-1
7.3,4.1,-1
7.7,4.1,-1
8.1,4.1,1
0.1,4.5,-1
0.5,4.5,-1
0.9,4.5,0
1.3,4.5,-1
1.7,4.5,-1
2.1,4.5,-1
2.5,4.5,-1
2.9,4.5,-1
3.3,4.5,-1
3.7,4.5,-1
4.1,4.5,-1
4.5,4.5,-1
4.9,4.5,-1
5.3,4.5,-1
5.7,4.5,-1
6.1,4.5,-1
6.5,4.5,-1
6.9,4.5,-1
7.3,4.5,-1
7.7,4.5,1
8.1,4.5,1
0.1,4.9,-1
0.5,4.9,0
0.9,4.9,-1
1.3,4.9,-1
1.7,4.9,-1
2.1,4.9,-1
2.5,4.9,-1
2.9,4.9,-1
3.3,4.9,-1
3.7,4.9,-1
4.1,4.9,-1
4.5,4.9,-1
4.9,4.9,-1
5.3,4.9,-1
5.7,4.9,-1
6.1,4.9,-1
6.5,4.9,-1
6.9,4.9,-1
7.3,4.9,-1
7.7,4.9,-1
8.1,4.9,-1
0.1,5.3,-1
0.5,5.3,-1
0.9,5.3,-1
1.3,5.3,1
1.7,5.3,-1
2.1,5.3,-1
2.5,5.3,-1
2.9,5.3,-1
3.3,5.3,-1
3.7,5.3,-1
4.1,5.3,-1
4.5,5.3,-1
4.9,5.3,-1
5.3,5.3,-1
5.7,5.3,-1
6.1,5.3,-1
6.5,5.3,-1
6.9,5.3,-1
7.3,5.3,-1
7.7,5.3,-1
8.1,5.3,1
0.1,5.7,-1
0.5,5.7,-1
0.9,5.7,-1
1.3,5.7,1
1.7,5.7,-1
2.1,5.7,-1
2.5,5.7,-1
2.9,5.7,-1
3.3,5.7,1
3.7,5.7,-1
4.1,5.7,-1
4.5,5.7,-1
4.9,5.7,-1
5.3,5.7,-1
5.7,5.7,-1
6.1,5.7,-1
6.5,5.7,-1
6.9,5.7,-1
7.3,5.7,1
7.7,5.7,-1
8.1,5.7,1
0.1,6.1,-1
0.5,6.1,-1
0.9,6.1,-1
1.3,6.1,0
1.7,6.1,-1
2.1,6.1,-1
2.5,6.1,-1
2.9,6.1,-1
3.3,6.1,-1
3.7,6.1,-1
4.1,6.1,-1
4.5,6.1,-1
4.9,6.1,-1
5.3,6.1,-1
5.7,6.1,-1
6.1,6.1,-1
6.5,6.1,-1
6.9,6.1,-1
7.3,6.1,1
7.7,6.1,-1
8.1,6.1,1
0.1,6.5,-1
0.5,6.5,-1
0.9,6.5,-1
1.3,6.5,0
1.7,6.5,-1
2.1,6.5,1
2.5,6.5,-1
2.9,6.5,-1
3.3,6.5,-1
3.7,6.5,-1
4.1,6.5,-1
4.5,6.5,-1
4.9,6.5,-1
5.3,6.5,-1
5.7,6.5,-1
6.1,6.5,-1
6.5,6.5,-1
6.9,6.5,-1
7.3,6.5,1
7.7,6.5,-1
8.1,6.5,1
0.1,6.9,-1
0.5,6.9,-1
0.9,6.9,-1
1.3,6.9,-1
1.7,6.9,-1
2.1,6.9,-1
2.5,6.9,-1
2.9,6.9,-1
3.3,6.9,-1
3.7,6.9,-1
4.1,6.9,-1
4.5,6.9,-1
4.9,6.9,-1
5.3,6.9,-1
5.7,6.9,-1
6.1,6.9,-1
6.5,6.9,1
6.9,6.9,1
7.3,6.9,-1
7.7,6.9,1
8.1,6.9,1
0.1,7.3,-1
0.5,7.3,-1
0.9,7.3,-1
1.3,7.3,-1
1.7,7.3,1
2.1,7.3,-1
2.5,7.3,-1
2.9,7.3,-1
3.3,7.3,-1
3.7,7.3,-1
4.1,7.3,-1
4.5,7.3,-1
4.9,7.3,-1
5.3,7.3,-1
5.7,7.3,-1
6.1,7.3,1
6.5,7.3,-1
6.9,7.3,-1
7.3,7.3,1
7.7,7.3,1
8.1,7.3,1
0.1,7.7,-1
0.5,7.7,-1
0.9,7.7,-1
1.3,7.7,-1
1.7,7.7,1
2.1,7.7,-1
2.5,7.7,-1
2.9,7.7,-1
3.3,7.7,-1
3.7,7.7,-1
4.1,7.7,-1
4.5,7.7,-1
4.9,7.7,-1
5.3,7.7,-1
5.7,7.7,-1
6.1,7.7,-1
6.5,7.7,-1
6.9,7.7,1
7.3,7.7,1
7.7,7.7,1
8.1,7.7,1
0.1,8.1,0
0.5,8.1,-1
0.9,8.1,-1
1.3,8.1,0
1.7,8.1,0
2.1,8.1,1
2.5,8.1,1
2.9,8.1,-1
3.3,8.1,-1
3.7,8.1,-1
4.1,8.1,-1
4.5,8.1,-1
4.9,8.1,-1
5.3,8.1,1
5.7,8.1,1
6.1,8.1,1
6.5,8.1,-1
6.9,8.1,1
7.3,8.1,1
7.7,8.1,1
8.1,8.1,1
